연번,업체코드,분야,업체명,소재지,대표자,선정년도,23년배정인원,관할청
1029,220220095,중소벤처부설연구소,(주)케이엠디바이오 기업부설연구 소,"대전광역시 유성구 테크노1로 11-3 배재대학교 산학협력관 N507~509, N407호",김명훈,2022,총괄배정,대전.충남
1030,220200212,중소벤처부설연구소,(주)케이에프엠 KERN 중앙 연구소,충청남도 예산군 삽교읍 산단 2길 166,홍중기,2020,총괄배정,대전.충남
1031,220200286,중소벤처부설연구소,(주)케이씨에이 ICT연구소,"서울특별시 서초구 동작대로 214, 5층 (방배동, 정금빌딩)",문대원,2020,미신청,서울
1032,220200196,중소벤처부설연구소,(주)케이쓰리아이 기술연구소,대전광역시 유성구 엑스포로 1 16층,이재영,2020,미신청,대전.충남
1033,220190068,중소벤처부설연구소,(주)케이스마텍 기업부설연구소,"서울특별시 금천구 가산디지 털1로 168 A동 1207호(가산동, 우림라이온스밸리)","고인옥,정순호",2019,총괄배정,서울
1034,220010676,중소벤처부설연구소,(주)케이사인 정보보안연구소,"서울특별시 강남구 선릉로 577, 조선내화빌딩 5층 (역삼 동)",최승락,2001,총괄배정,서울
1035,220210142,중소벤처부설연구소,(주)케이비전 기술연구소,"서울특별시 강남구 테헤란로 413, 태양빌딩 9층 (삼성동)",이경석,2021,총괄배정,서울
1036,220210167,중소벤처부설연구소,(주)케어스퀘어 기업부설연구소,"서울특별시 강남구 역삼로 156, 태광빌딩 607호 (역삼동)",오병엽,2021,총괄배정,서울
1037,220220312,중소벤처부설연구소,(주)케어사이드부설수의임상의약 연구소,경기도 성남시 중원구 사기막 골로45번길 14 우림라이온스 밸리 2차 A동 B209~211호(우 림라이온스밸리),유영국,2022,총괄배정,경인
1038,220160343,중소벤처부설연구소,(주)케비젠중앙연구소,전라북도 전주시 덕진구 반룡 로 62 1층,신홍식,2016,총괄배정,전북
1039,220210113,중소벤처부설연구소,(주)컴퓨터메이트 부설연구소,대구광역시 수성구 알파시티1 로35길 23(대흥동),"서상인,김성호",2021,미신청,대구.경북
1040,220210161,중소벤처부설연구소,(주)컬리 서비스기술연구소,"서울특별시 강남구 테헤란로 133 14층, 15층 (역삼동, 한국 타이어빌딩)",김슬아,2021,총괄배정,서울
1041,220140044,중소벤처부설연구소,(주)컨트롤웍스 미래모빌리티연구 소,"서울특별시 강남구 언주로81 길 13 2층, 3층 (역삼동, 진일빌 딩)","박승범, 선우명 호",2014,총괄배정,서울
1042,220180178,중소벤처부설연구소,(주)컨텍기업부설연구소,"대전광역시 유성구 지족북로 66번길 82, 3층(지족동)",이성희,2018,미신청,대전.충남
1043,220220091,중소벤처부설연구소,(주)커미조아 기업부설연구소,세종특별자치시 세종시 연동 면 명학산단서로 57,민경훈,2022,총괄배정,대전.충남
1044,220210055,중소벤처부설연구소,(주)커먼컴퓨터 기업부설연구소,서울특별시 서초구 매헌로8길 47 양재동 희경재단 빌딩 비동 4층 405호 (양재동),김민현,2021,총괄배정,서울
1045,220200128,중소벤처부설연구소,(주)커널랩스 기업부설연구소,서울특별시 성동구 성수일로 111 성수 선명스퀘어 1310호 (성수동1가),김현중,2020,미신청,서울
1046,220220289,중소벤처부설연구소,(주)캔탑스기업부설연구소,"경기도 수원시 영통구 덕영대 로1556번길 16, A동 1002호",오학서,2022,총괄배정,경인
1047,220220136,중소벤처부설연구소,(주)캔랩 자율주행연구소,서울특별시 금천구 가산디지 털2로 53 한라시그마밸리 1004호 (가산동),김동현,2022,총괄배정,서울
1048,220150041,중소벤처부설연구소,(주)캐리마 기업부설연구소,"서울특별시 강서구 양천로 551-17, 13층 1301호 (가양동, 한화비즈메트로1차)",이병극,2015,총괄배정,서울
1049,220220045,중소벤처부설연구소,(주)칼만기업부설연구소,경기도 안양시 동안구 엘에스 로116번길 25-32 SK V1센터 409호(호계동),김준호,2022,총괄배정,경인
1050,220210136,중소벤처부설연구소,(주)카인사이언스 중앙연구소,"서울특별시 성북구 고려대로 28, 1층 2층 (안암동2가, 밀로 바니)","조대호, 김희경",2021,미신청,서울
1051,220200357,중소벤처부설연구소,(주)카사코리아 기업부설연구소,"서울특별시 강남구 테헤란로 427 19층(삼성동, 미차빌딩)",예창완,2020,미신청,서울
1052,220220255,중소벤처부설연구소,(주)카비랩 기업부설연구소,서울특별시 서초구 남부순환 로 서울특별시 서초구 남부순 환로 2121-3 3층 (방배동),강성빈,2022,총괄배정,서울
1053,220180362,중소벤처부설연구소,(주)카비 기업부설연구소,"서울특별시 금천구 벚꽃로 244, 1012호 (가산동, 벽산디지 털밸리5차)",이은수,2018,총괄배정,서울
1054,220180123,중소벤처부설연구소,(주)카브기업부설연구소,"서울특별시 광진구 능동로 120, 새천년관 지하 2층 (B216, B217, B218, B218-1호)",송창선,2018,총괄배정,서울
1055,220210071,중소벤처부설연구소,(주)카네비컴 기술연구소,"인천광역시 연수구 송도과학 로16번길 13-25 7층,11층,12층",정종택,2021,총괄배정,인천
1056,220180414,중소벤처부설연구소,(주)친환경계획그룹 청연 부설연구 소,"서울특별시 강남구 논현로71 길 6, 2층",김학건,2018,총괄배정,서울
1057,220220220,중소벤처부설연구소,(주)초이스테크놀로지 부설연구소,"인천광역시 연수구 송도과학 로 32 에스 1404호(송도동, 송 도테크노파크IT센터) (송도동)",최순필,2022,총괄배정,인천
1058,220190220,중소벤처부설연구소,(주)초위스컴퍼니 기업부설연구소,경기도 용인시 기흥구 중부대 로 184 A동 1301-2호,최원석,2019,총괄배정,경인
1059,220210341,중소벤처부설연구소,(주)천보 기업부설연구소,충청북도 충주시 주덕읍 중원 산업로 322 기술연구동 3층,"서자원, 이상율",2021,미신청,충북
1060,220170281,중소벤처부설연구소,(주)창의와탐구 영재교육연구소,"서울특별시 서초구 남부순환 로 2219 3층 일부(방배동, 나노 빌딩)",염만숙,2017,총괄배정,서울
1061,220140027,중소벤처부설연구소,(주)창소프트아이앤아이 Research Center,"서울특별시 강남구 테헤란로 103길 8-7, 3층 (삼성동)",김은석,2014,총괄배정,서울
1062,220200086,중소벤처부설연구소,(주)창명산업 부설연구소,경기도 양주시 은현면 운하로 528번길 44-12,이승제,2020,미신청,경기북부
1063,220220218,중소벤처부설연구소,(주)창 헬스케어 기술연구소,서울특별시 구로구 디지털로 26길  61 에이스하이엔드2차 18층 (구로동),성창규,2022,총괄배정,서울
1064,220210189,중소벤처부설연구소,(주)참약사 기업부설연구소,"서울특별시 성북구 종암로 120, 비제이B/D 3층 303호 (종 암동)",김병주,2021,총괄배정,서울
1065,220200060,중소벤처부설연구소,(주)차지인 기술개발연구소,"경기도 성남시 분당구 황새울 로 216, 휴맥스빌리지 8층(수 내동)",최영석,2020,미신청,경인
1066,220200417,중소벤처부설연구소,(주)차메디텍 CHA생물의약태반연 구소,대전광역시 유성구 테크노2로 199 305호(용산동 미건테크노 월드),김석진,2020,미신청,대전.충남
1067,220210185,중소벤처부설연구소,(주)진학어플라이 개발연구소,"서울특별시 종로구 경희궁길 34 2층 (신문로2가, 진학기획 빌딩)",신원근,2021,총괄배정,서울
1068,220190132,중소벤처부설연구소,(주)진켐 중앙연구소,"대전광역시 유성구 테크노2로 187, A동 201호 (용산동, 미건 테크노월드2차)",허남,2019,총괄배정,대전.충남
1069,220180425,중소벤처부설연구소,(주)진우엔지니어링 부설연구소,서울특별시 금천구 가산디지 털1로 151 1202-1207 (가산동),김석희,2018,총괄배정,서울
1070,220220325,중소벤처부설연구소,(주)진우바이오부설연구소,경기도 용인시 기흥구 서천로 201번길 11 기흥테라타워 지 식산업센터 636호(농서동),권동건,2022,총괄배정,경인
1071,220220119,중소벤처부설연구소,(주)진셀팜 한국피부과학연구원,"서울특별시 송파구 법원로11 길 25 A동 6층 (문정동, 에이치 비지니스파크)",안인숙,2022,총괄배정,서울
1072,220220293,중소벤처부설연구소,(주)지필로스기술연구소,"경기도 용인시 기흥구 기흥로 116번길 184 2,3층 일부, 4층 일부(언남동)",박가우,2022,총괄배정,경인
1073,220170008,중소벤처부설연구소,(주)지피씨알맞춤의학 연구소,"서울특별시 관악구 낙성대로 38, 3층(301호~306호 전층) 205호(봉천동, 낙성대 R&D센 타)",신동승,2017,총괄배정,서울
1074,220180121,중소벤처부설연구소,(주)지플러스생명과학기업부설연 구소,"서울특별시 관악구 낙성대로 38, 1층(봉천동)",최성화,2018,미신청,서울
1075,220180180,중소벤처부설연구소,(주)지투지바이오기업부설연구소,충청북도 청주시 흥덕구 오송 읍 의료단지길 21 제1동,이희용,2018,총괄배정,충북
1076,220210040,중소벤처부설연구소,(주)지이모션 기업부설연구소,서울특별시 강남구 선릉로99 길 12 모노타워 3층 (역삼동),HAN DONGSOO,2021,총괄배정,서울
1077,220200061,중소벤처부설연구소,(주)지음지식서비스 기업부설연구 소,경기도 성남시 수정구 창업로 42 판교제2테크노밸리 경기기 업성장센터 532호 (시흥동),고영호,2020,총괄배정,경인
1078,220190187,중소벤처부설연구소,(주)지오투정보기술 부설연구소,경기도 성남시 분당구 대왕판 교로 670 유스페이스2 B동 609 호,오정환,2019,미신청,경인
1079,220150289,중소벤처부설연구소,(주)지오시스템리서치 지오미래연 구소,"경기도 안양시 동안구 엘에스 로 142, 217호(호계동)",장경일,2015,총괄배정,경인
1080,220210352,중소벤처부설연구소,(주)지오비전 인공지능분석연구소,"강원도 춘천시 강원대학길 1 , 보듬관 405호",김윤,2021,총괄배정,강원
1081,220220320,중소벤처부설연구소,(주)지오메카이엔지기술연구소,경기도 용인시 수지구 신수로 767 분당수지유타워 지식산업 센터 612호 일부,채휘영,2022,총괄배정,경인
1082,220170213,중소벤처부설연구소,(주)지엔티파마 부설연구소,"경기도 용인시 기흥구 용구대 로1855번길 23, 1층 부설연구 소",곽병주,2017,총괄배정,경인
1083,220200318,중소벤처부설연구소,(주)지에프에스 부설연구소,서울특별시 동대문구 왕산로 19가길 16 (용두동) 3층,김태호,2020,미신청,서울
1084,220200287,중소벤처부설연구소,(주)알고리고 부설연구소,서울특별시 강남구 봉은사로 319 내외빌딩 4층( 논현동 ),차길환,2020,배정제한,서울
1085,220220082,중소벤처부설연구소,(주)지에스아이 기업부설연구소,충청남도 천안시 서북구 직산 읍 부송로 165-23 2층,이기현,2022,총괄배정,대전.충남
1086,220180120,중소벤처부설연구소,(주)지앤티솔루션 R&D센터,서울특별시 영등포구 선유로 146 이앤씨드림타워 911호(양 평동3가),강상철,2018,총괄배정,서울
1087,220200147,중소벤처부설연구소,(주)지앤지커머스 기업부설연구소,서울특별시 영등포구 국제금 융로6길 30 백상빌딩 5층 505 호 (여의도동),모영일,2020,미신청,서울
1088,220200133,중소벤처부설연구소,(주)지아이이노베이션 기업부설연 구소,"167, 문정테라타워 A동 1114,1115, B동 1014,1015,1016,1017호 (문정","홍준호, 이병건",2020,총괄배정,서울
1089,220210230,중소벤처부설연구소,(주)지아이셀 기업부설연구소,"경기도 성남시 중원구 갈마치 로288번길 14, SKV1타워 B동 1355호, 1358~1360호, 1558~1561호(상대원동)",홍천표,2021,총괄배정,경인
1090,220210246,중소벤처부설연구소,(주)지아이바이옴 기업부설연구소,"경기도 성남시 중원구 갈마치 로288번길 14, 성남 SKV1타워 B동 1361~1362호, B103~B105, B125~B128, B129",양보기,2021,총괄배정,경인
1091,220200094,중소벤처부설연구소,(주)지씨 기업부설연구소,부산광역시 연제구 양연로 3(연산동),이상길,2020,총괄배정,부산
1092,220220147,중소벤처부설연구소,(주)지스코 기업부설연구소,서울특별시 금천구 가산디지 털1로 5 B117 (가산동),홍성호,2022,총괄배정,서울
1093,220210325,중소벤처부설연구소,(주)지브레인 기업부설연구소,"인천광역시 연수구 송도과학 로 32 M동 1902호(송도동, 송 도테크노파크IT센터)","양성구, 김병관",2021,총괄배정,인천
1094,220210304,중소벤처부설연구소,(주)지놈인사이트 기업부설연구소,"대전광역시 유성구 문지로 193 T331호, 235호, 326호(문 지동, KAIST문지캠퍼스 진리 관)",주영석,2021,총괄배정,대전.충남
1095,220200283,중소벤처부설연구소,(주)지놈오피니언 기업부설연구소,"서울특별시 성동구 아차산로 17길 48, SKV1센터 1동 721호 (성수동2가)",고영일,2020,총괄배정,서울
1096,220170215,중소벤처부설연구소,(주)지놈앤컴퍼니 기업부설연구소,"경기도 성남시 분당구 판교로 255번길 35, B동 8층 / A동 7층","배지수,박한수",2017,총괄배정,경인
1097,220200273,중소벤처부설연구소,(주)지노스 PLM연구소,"서울특별시 금천구 가산디지 털1로 212 701호  (가산동, 코 오롱디지털타워애스턴)",최양열,2020,총괄배정,서울
1098,220200472,중소벤처부설연구소,(주)지2터치 부설연구소,경기도 성남시 분당구 판교로 255번길  35 B동 2층  (삼평동),표주찬,2020,미신청,경인
1099,220220308,중소벤처부설연구소,(주)주원테크놀러지기업부설연구 소,경기도 성남시 수정구 창업로 42 판교제2테크노밸리 경기기 업성장센터 911호(시흥동),이상무,2022,총괄배정,경인
1100,220190072,중소벤처부설연구소,(주)주빅 기업부설연구소,"서울특별시 구로구 디지털로 272, 한신아이티타워 207호 (구로동)",양휘석,2019,총괄배정,서울
1101,220220197,중소벤처부설연구소,(주)젠티 기업부설연구소,서울특별시 양천구 목동동로 서울특별시 양천구 목동동로 293 1104호 (목동),최은진,2022,총괄배정,서울
1102,220140152,중소벤처부설연구소,(주)젠큐릭스중앙연구소,"서울특별시 구로구 디지털로 242, 311호(구로동, 한화비즈 메트로1차)",조상래,2014,총괄배정,서울
1103,220200146,중소벤처부설연구소,(주)젠센 기업부설연구소,"서울특별시 송파구 법원로11 길 25 에이동 1203호 (문정동, 에이치비지니스파크)",이성호,2020,총괄배정,서울
1104,220170132,중소벤처부설연구소,(주)젠바디 생명공학 연구소,충청남도 천안시 서북구 업성 2길 3-12,김진수,2017,총괄배정,대전.충남
1105,220200500,중소벤처부설연구소,(주)젠믹스텍 부설연구소,"경기도 성남시 중원구 둔촌대 로388번길  24 1202~3호 (상대 원동, 성남 우림라이온스밸리 3차)",승성표,2020,미신청,경인
1106,220200139,중소벤처부설연구소,(주)젠다카디언 기업부설연구소,"서울특별시 성동구 성수일로 10길  26, hausD세종타워 309 호",조현아,2020,미신청,서울
1107,220220028,중소벤처부설연구소,(주)제핏 기업부설연구소,"대구광역시 달성군 현풍읍 테 크노공원로 16, 대구테크비즈 센터 607호",신준녕,2022,총괄배정,대구.경북
1108,220170233,중소벤처부설연구소,(주)제트바이오텍R&D연구소,충청북도 청주시 흥덕구 오송 읍 오송생명1로 194-25 405호,김청원,2017,미신청,충북
1109,220170286,중소벤처부설연구소,(주)제이엘케이 서울 기업부설연구 소,"서울특별시 강남구 테헤란로 33길 5, 5층, 6층, 9층, 10층, 11 층 (역삼동)",김동민,2017,총괄배정,서울
1110,220200177,중소벤처부설연구소,(주)제이에이치씨 기업부설연구소,충청북도 청주시 청원구 오창 읍 두릉유리로 48 사무동 2층 기업부설연구소(성재리 967),김병선,2020,미신청,충북
1111,220210062,중소벤처부설연구소,(주)제이앤밸류 기업부설연구소,대전광역시 유성구 반석로 14 603호,김재홍,2021,미신청,대전.충남
1112,220210311,중소벤처부설연구소,(주)제이아이테크 기업부설연구소,전라북도 군산시 중가도길 16,함석헌,2021,총괄배정,전북
1113,220200310,중소벤처부설연구소,(주)제이비티 스마트재난관리연구 소,서울특별시 강남구 논현로28 길 24 6층 (도곡동),이은정,2020,총괄배정,서울
1114,220220152,중소벤처부설연구소,(주)제이비바이오텍 중앙기술연구 소,서울특별시 금천구 가산디지 털2로 115 대륭테크노타운3차 1104호 (가산동),박현식,2022,총괄배정,서울
1115,220200090,중소벤처부설연구소,(주)제이디바이오사이언스 기업부 설연구소,"광주광역시 북구 첨단과기로 208번길 17-23,티제이에스 지 식산업센터 10층 1001호,1002 호,1004호",안진희,2020,총괄배정,광주.전남
1116,220140315,중소벤처부설연구소,(주)제욱기업부설연구소,"서울특별시 서대문구 연세로 50-1, 501호 에비슨의 생명연 구센터 (신촌동)",이문자,2014,총괄배정,서울
1117,220200162,중소벤처부설연구소,(주)제드 건축사사무소 부설 제로에 너지 건축 도시 기술연구소,서울특별시 서초구 반포대로 22길 14-4. 4층,조중석,2020,총괄배정,서울
1118,220190372,중소벤처부설연구소,(주)제니컴센서 연구소,대전광역시 유성구 배울1로 273(탑립동),손정환,2019,미신청,대전.충남
1119,220210002,중소벤처부설연구소,(주)제뉴원사이언스 중앙연구소,"경기도 화성시 삼성1로2길 16, (주)제뉴원사이언스 중앙연구 소 2층,4층 (석우동)",이삼수,2021,총괄배정,경인
1120,220220242,중소벤처부설연구소,(주)제놀루션 R&D Center,서울특별시 강서구 마곡중앙8 로3길 서울특별시 강서구 마 곡중앙8로3길 63 제놀루션 (마 곡동),김기옥,2022,총괄배정,서울
1121,220170376,중소벤처부설연구소,(주)제노포커스 기업부설연구소,"대전광역시 유성구 테크노3로 65 233,235,236,237,626,627,628 호",김의중,2017,미신청,대전.충남
1122,220080078,중소벤처부설연구소,(주)제노레이 기술연구소,"경기도 성남시 중원구 둔촌대 로80번길 3-15, 모란드림시티 3층(전층, 301~309호), 2층 (203~209호)",박병욱,2008,총괄배정,경인
1123,220120018,중소벤처부설연구소,(주)제넥신연구소,서울특별시 강서구 마곡중앙 로 172 제넥신 바이오이노베 이션파크(마곡동),"우정원, Neil Warma",2012,총괄배정,서울
1124,220210140,중소벤처부설연구소,(주)제네시스랩 기업부설연구소,"서울특별시 중구 명동길 73, 페이지 명동 5층 501호 (명동1 가)",이영복,2021,총괄배정,서울
1125,220140212,중소벤처부설연구소,(주)정도유아이티기업부설연구소,"서울특별시 강남구 테헤란로 38길 29, 3층,4층(역삼동, 이원 빌딩)",노성기,2014,총괄배정,서울
1126,220220333,중소벤처부설연구소,(주)재영소프트 부산센텀연구소,"부산광역시 해운대구 센텀북 대로 60, 센텀IS타워 1910호",이강욱,2022,총괄배정,부산
1127,220200078,중소벤처부설연구소,(주)자이언트케미칼 기업부설연구 소,울산광역시 남구 용연로 64,강동균,2020,미신청,부산
1128,220190305,중소벤처부설연구소,(주)에이치앤씨 건설연구소 친환경 건,"서울특별시 성동구 성수일로 55, 902호(성수동1가, 에스케 이테크노타워빌딩)",조승연,2019,배정제한,서울
1129,220180439,중소벤처부설연구소,(주)일신종합환경부설 연구소,"경기도 성남시 분당구 방아로 16번길 11, 2층 일신종합환경 (이매동)",김정철,2018,총괄배정,경인
1130,220210284,중소벤처부설연구소,(주)일리아스바이오로직스 부설연 구소,"대전광역시 유성구 테크노6로 40-20  A동1층,2층,3층, B동2 층,3층",최철희,2021,총괄배정,대전.충남
1131,220200092,중소벤처부설연구소,(주)일렉오션 기업부설연구소,"부산광역시 해운대구 센텀동 로 35, 308호(우동, 센텀에스에 이치밸리)",정일화,2020,미신청,부산
1132,220220235,중소벤처부설연구소,(주)인피닉 AI.STUDIO 인공지능 연 구소,서울특별시 강남구 강남대로 84길 13 8~9층 (역삼동),박준형,2022,총괄배정,서울
1133,220190067,중소벤처부설연구소,(주)인피니트헬스케어 R&D Center,"서울특별시 구로구 디지털로 34길 27, 3차 409~410, 1201~5 호 (구로동, 대륭포스트타워3 차)","홍기태,김동욱",2019,미신청,서울
1134,220200136,중소벤처부설연구소,(주)인포웍스 IoT융합연구소,"서울특별시 금천구 가산디지 털1로 145, 1302호 (가산동, 에 이스하이엔드타워3차)",박현주,2020,미신청,서울
1135,220220074,중소벤처부설연구소,(주)인포비온 기술연구소,"경기도 부천시 부일로815번길 83 2층, 3층 (역곡동)",김용환,2022,총괄배정,인천
1136,220200005,중소벤처부설연구소,(주)인포마크 기술연구소,"경기도 성남시 분당구 황새울 로 216 3층(수내동, 휴맥스빌 리지)",최혁,2020,미신청,경인
1137,220210073,중소벤처부설연구소,(주)인포마이닝 기업부설연구소,서울특별시 강남구 강남대로 112길 32 (주)인포마이닝 (논 현동),이재용,2021,미신청,서울
1138,220220165,중소벤처부설연구소,(주)인티그레이션 기업부설연구소,"서울특별시 강남구 테헤란로 427, 위워크타워 16층 (삼성 동)",정희범,2022,총괄배정,서울
1139,220220039,중소벤처부설연구소,(주)인트로바이오파마중앙연구소,"경기도 평택시 서탄면 마두길 104-2, 2층 일부",박석용,2022,총괄배정,경인
1140,220220322,중소벤처부설연구소,(주)인투씨엔에스기업부설연구소,"경기도 용인시 수지구 신수로 767 분당수지 U-TOWER 지식 산업센터 A동 2101호 일 부,2103호",허성호,2022,총괄배정,경인
1141,220210215,중소벤처부설연구소,(주)인텔리안테크놀로지스 부설연 구소,"경기도 평택시 진위면 진위산 단로 18-7, 연구동 4층, 5층",성상엽,2021,총괄배정,경인
1142,220200155,중소벤처부설연구소,(주)인텔리시스 기업부설연구소,"서울특별시 관악구 관악로 1, 138동 111호(신림동, 서울대학 교)","박은영,박성찬",2020,총괄배정,서울
1143,220150014,중소벤처부설연구소,(주)인텔리빅스영상정보처리연구 소,"서울특별시 서초구 효령로34 길 4,601호(방배동,프린스효령 빌딩)",장정훈,2015,총괄배정,서울
1144,220190368,중소벤처부설연구소,(주)인텍플러스 기술연구소,대전광역시 유성구 테크노2로 263 (탑립동),이상윤,2019,총괄배정,대전.충남
1145,220210217,중소벤처부설연구소,(주)인텍에프에이 연구소,"경기도 용인시 기흥구 탑실로 35번길 63, 3층(공세동)",최기수,2021,총괄배정,경인
1146,220200374,중소벤처부설연구소,(주)인텍메디 기업부설연구소,"세종특별자치시 세종시 집현 동로 13, 3층",원영재,2020,미신청,대전.충남
1147,220200109,중소벤처부설연구소,(주)인테라 기업부설연구소,"경기도 성남시 중원구 갈마치 로 302, 성남우림 라이온스밸 리 5차 A동 1701호, 1809호, 1810호, 1904호(상대원동)",최덕영,2020,총괄배정,경인
1148,220150017,중소벤처부설연구소,(주)인코어드테크놀로지스기업부 설연구소,"서울특별시 강남구 봉은사로 327, 궁도빌딩 13층(논현동)",최종웅,2015,총괄배정,서울
1149,220200296,중소벤처부설연구소,(주)인진 R&D 센터,"서울특별시 동대문구 천호대 로  395-2 5층 (장안동, 창도빌 딩)",성용준,2020,총괄배정,서울
1150,220200040,중소벤처부설연구소,(주)인우코퍼레이션 부설 연구소,경기도 안성시 금광면 금광오 산로 137 1층,공성욱,2020,미신청,경인
1151,220190133,중소벤처부설연구소,(주)인엘씨테크놀러지 부설연구소,대전광역시 유성구 테크노1로 30,"서성우,이일",2019,미신청,대전.충남
1152,220130250,중소벤처부설연구소,(주)인실리코젠 기업부설연구소,"경기도 용인시 기흥구 흥덕1 로 13  2903호 (영덕동, 흥덕아 이티밸리타워동)",최남우,2013,총괄배정,경인
1153,220210320,중소벤처부설연구소,(주)인실리코 중앙연구소,"경기도 안산시 단원구 산단로 112-19 2,3층",최승훈,2021,총괄배정,인천
1154,220160331,중소벤처부설연구소,(주)인스텍 중앙연구소,대전광역시 유성구 신성로 154 1층,"선두훈,선경훈, 선승훈",2016,총괄배정,대전.충남
1155,220190041,중소벤처부설연구소,(주)인벤티지랩 기업부설연구소,"경기도 성남시 중원구 양현로 405번길 12, 6층(티엘아이빌 딩)",김주희,2019,미신청,경인
1156,220200258,중소벤처부설연구소,(주)인바디부설 생체공학연구소,"서울특별시 강남구 언주로 625 3층, 7층~9층 (논현동, 인 바디빌딩)","차기철, 이라미",2020,총괄배정,서울
1157,220180119,중소벤처부설연구소,(주)인라이플기업부설연구소,"서울특별시 구로구 디지털로 272, 514호 515호 516호 (구로 동, 한신아아티타워)","한경훈, 이근욱",2018,미신청,서울
1158,220180073,중소벤처부설연구소,(주)인공지능연구원 기업부설연구 소,"경기도 성남시 분당구 성남대 로331번길 8, 킨스타워 1301호",김영환,2018,총괄배정,경인
1159,220200131,중소벤처부설연구소,(주)이튜 부설기술연구소,"대구광역시 수성구 알파시티1 로31길 12, 1층","김체담,김광수",2020,미신청,대구.경북
1160,220200018,중소벤처부설연구소,(주)이지티엠 R&D Center,"경기도 수원시 영통구 신원로 304 이노플렉스 3동 305호, 404호",김영대,2020,미신청,경인
1161,220200349,중소벤처부설연구소,(주)이지위드 인터랙티브미디어연 구소,"서울특별시 강남구 논현로133 길 8 4층 (논현동, 유니슨빌딩)",양정하,2020,미신청,서울
1162,220150018,중소벤처부설연구소,(주)이지스미래도시연구센터,"서울특별시 구로구 디지털로 26길 111,1502호(구로동, 제이 앤케이디지털타워)",김성호,2015,총괄배정,서울
1163,220200311,중소벤처부설연구소,(주)이지서티부설 연구소,"서울특별시 구로구 디지털로 33길 48 7차 901~906호 (구로 동, 대륭포스트타워)",심기창,2020,미신청,서울
1164,220200023,중소벤처부설연구소,(주)이지다이아텍 기업부설연구소,"경기도 안양시 동안구 벌말로 66 A동 1309~1310호, 1512~1513호, 1515호","정용균, 이석주",2020,총괄배정,경인
1165,220190101,중소벤처부설연구소,(주)이지놈 부설연구소,"서울특별시 송파구 법원로9길 26 C동 1007호(문정동, 에이치 비지니스파크)",조서애,2019,총괄배정,서울
1166,220220209,중소벤처부설연구소,(주)이오시스템 종합연구소,인천광역시 서구 가재울로 38(가좌동),함태헌,2022,총괄배정,인천
1167,220190270,중소벤처부설연구소,(주)이엠코 기업부설연구소,"서울특별시 서초구 바우뫼로 182, 3층","조한재, 이승재",2019,총괄배정,서울
1168,220200464,중소벤처부설연구소,(주)이엠엘 R&D Center,경기도 수원시 영통구 창룡대 로256번길 77 에이스광교타워 3 408호  (이의동),박은수,2020,미신청,경인
1169,220220032,중소벤처부설연구소,(주)이엘피기업부설연구소,"경기도 화성시 삼성1로5길 36, 4층(석우동)",이재혁,2022,총괄배정,경인
1170,220220346,중소벤처부설연구소,(주)이엔코아 기업부설연구소,대전광역시 대덕구 신일서로 67번길 52 A3,이인성,2022,총괄배정,대전.충남
1171,220220196,중소벤처부설연구소,(주)이엔지소프트 기업부설연구소,"서울특별시 강서구 양천로 551-17 404 (가양동, 한화비즈 메트로1차)",김성곤,2022,총괄배정,서울
1172,220200188,중소벤처부설연구소,(주)이엔에스 기술연구소,경기도 안산시 단원구 엠티브 이12로 7 이엔에스 2층 (성곡 동),정병덕,2020,미신청,인천
1173,220090132,중소벤처부설연구소,(주)이에이엔테크놀로지 EAN지속 가능기술연구소,서울특별시 강남구 테헤란로 77길 11-19 (삼성동) 4층,신지웅,2009,총괄배정,서울
1174,220210296,중소벤처부설연구소,(주)이앤에스헬스케어 기업부설연 구소,대전광역시 유성구 국제과학 11로 42,서경훈,2021,미신청,대전.충남
1175,220160029,중소벤처부설연구소,(주)이씨마이너 웹데이터마이닝연 구소,"서울특별시 강남구 도곡로 151 3층 (역삼동, 상준빌딩)",민광기,2016,총괄배정,서울
1176,220180144,중소벤처부설연구소,(주)이스트소프트 A.I. Human Lab (연구소),"서울특별시 서초구 반포대로 3, 8층 (서초동, 이스트빌딩)",정상원,2018,총괄배정,서울
1177,220200001,중소벤처부설연구소,(주)이미지스테크놀로지부설 연구 소,경기도 수원시 영통구 광교로 105 301호(경기R&DB센터)(이 의동),김정철,2020,미신청,경인
1178,220190396,중소벤처부설연구소,(주)이뮨메드 중앙연구소,"강원도 춘천시 소양강로 32 2- 2,2-3 (후평동, BIO-3동)",안병옥,2019,총괄배정,강원
1179,220170285,중소벤처부설연구소,(주)이뮤노맥스기업부설연구소,"서울특별시 성북구 안암로 145, 303호 412-2호(안암동5 가. 고려대학교 자연계캠퍼스 산학과)",박세호,2017,총괄배정,서울
1180,220210271,중소벤처부설연구소,(주)이레테크 부설연구소,경기도 군포시 군포첨단산업2 로 77 (부곡동),지만영,2021,미신청,경인
1181,220210262,중소벤처부설연구소,(주)이랑텍 기술연구소,경기도 화성시 동탄하나1길 54-49 이랑텍,이재복,2021,미신청,경인
1182,220220098,중소벤처부설연구소,(주)이노폴 기업부설연구소,경상남도 창녕군 계성면 준공 업단지길 23,윤범식,2022,총괄배정,경남
