연번,업체코드,분야,업체명,소재지,대표자,선정년도,23년배정인원,관할청
57,220170074,중견기업부설연구소,알피니언메디칼시스템(주)부설연 구소,"경기도 안양시 동안구 흥안대 로 81번길 77 호계동, LG연구 소 신관 1층(호계동)",박현종,2017,2,경인
58,220020146,중견기업부설연구소,안국약품부설연구소,"서울특별시 영등포구 시흥대 로 613 - 0 ((주)안국약품 6층, 대림동)",원덕권,2002,1,서울
59,220050076,중견기업부설연구소,안국약품(주)부설중앙연구소,서울특별시 구로구 디지털로 26길 123 지플러스코오롱디지 털타워 6층,원덕권,2005,1,서울
60,220080067,중견기업부설연구소,씨티씨바이오중앙연구소,경기도 화성시 팔탄면 현대기 아로 38 1공장 2층,이민구,2008,1,경인
61,219880035,중견기업부설연구소,신풍제약중앙연구소,경기도 안산시 단원구 원시로 7 - 0 (목내동),유제만,1988,1,인천
62,220130229,중견기업부설연구소,신풍제약 제제개발연구소,"경기도 안양시 동안구 시민대 로 401 15차 1201호~1206호, 1302호(관양동, 대륭테크노타 운)",유제만,2013,1,경인
63,220100197,중견기업부설연구소,스태츠칩팩코리아기술연구소,인천광역시 중구 자유무역로 191 4층,김원규,2010,1,인천
64,220180217,중견기업부설연구소,샘표식품(주) 우리발효연구중심,충청북도 청주시 흥덕구 오송 읍 오송생명4로 183 샘표식품 주식회사 우리발효연구중심,박진선,2018,2,충북
65,220210128,중견기업부설연구소,샘표식품 주식회사 우리맛연구중 심 (기업부설연구소),"서울특별시 중구 충무로 2, 매 일경제신문사빌딩 9층, 10층 (필동1가)",박진선,2021,1,서울
66,219860038,중견기업부설연구소,삼진제약(주)연구센터(Research Center),서울특별시 강서구 마곡중앙 10로 90(마곡동) 삼진제약(주) 연구센터,최용주,1986,2,서울
67,219860004,중견기업부설연구소,삼양사중앙연구소,대전광역시 유성구 대덕대로 730(화암동),"강호성, 최낙현",1986,2,대전.충남
68,219940026,대기업부설연구소,(주)엘지화학 마곡 R&D 캠퍼스(연 구소),"10로 30 LG화학 E8동, E6동, E5 동(지하2층,지상3층 일부 제 외), E7동(지상3층 일부 제외),",신학철,1994,배정제한,서울
69,220200445,중견기업부설연구소,미원스페셜티케미칼(주)부설연구 소,"경기도 용인시 수지구 포은대 로59번길 20 4층, 5층 (상현동)",배원,2020,1,경인
70,220090082,중견기업부설연구소,미원상사부설연구소,경기도 안산시 단원구 원시로 49 - 0,손응주,2009,1,인천
71,220200330,중견기업부설연구소,모비어스앤밸류체인(주) 기업부설 연구소,서울특별시 강남구 테헤란로 326 태보 역삼 아이타워 15층 1호  (역삼동),"이계주,백준호",2020,2,서울
72,220200293,중견기업부설연구소,모비어스앤밸류체인(주) AMR연구 소,"경기도 용인시 기흥구 신정로 101, 1층 2층 3층","이계주, 백준호",2020,2,경인
73,220040231,중견기업부설연구소,마크로젠부설Bioinformatics연구소,"서울특별시 금천구 벚꽃로 254,1208호(가산동,월드메르 디앙1차)","이수강, 김창훈",2004,1,서울
74,220090014,중견기업부설연구소,루멘스반도체조명연구소,경기도 용인시 기흥구 기흥로 58 기흥 ICT밸리 B동 14층(구 갈동),이경재,2009,미신청,경인
